"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","CPI","TOT_FOODENRG","AGRWTH","A","2022",3.69075,
"CZE","CPI","TOT_FOODENRG","AGRWTH","A","2018",2.355684,
"CZE","CPI","TOT_FOODENRG","AGRWTH","A","2019",2.521405,
"CZE","CPI","TOT_FOODENRG","AGRWTH","A","2020",3.631627,
"CZE","CPI","TOT_FOODENRG","AGRWTH","A","2021",4.990389,
"CZE","CPI","TOT_FOODENRG","AGRWTH","A","2022",12.19632,
"JPN","CPI","TOT_FOODENRG","AGRWTH","A","2018",0.2014775,
"JPN","CPI","TOT_FOODENRG","AGRWTH","A","2019",0.4440348,
"JPN","CPI","TOT_FOODENRG","AGRWTH","A","2020",0.1084327,
"JPN","CPI","TOT_FOODENRG","AGRWTH","A","2021",-0.7332112,
"JPN","CPI","TOT_FOODENRG","AGRWTH","A","2022",0.3189525,
"G-7","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.673263,
"G-7","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.716451,
"G-7","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.246457,
"G-7","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.570579,
"G-7","CPI","TOT_FOODENRG","AGRWTH","A","2022",4.899688,
"COL","CPI","FOOD","AGRWTH","A","2018",0.8301121,
"COL","CPI","FOOD","AGRWTH","A","2019",4.882672,
"COL","CPI","FOOD","AGRWTH","A","2020",5.551534,
"COL","CPI","FOOD","AGRWTH","A","2021",9.725744,
"COL","CPI","FOOD","AGRWTH","A","2022",24.96117,
"COL","CPI","TOT_FOODENRG","AGRWTH","A","2018",3.606495,
"COL","CPI","TOT_FOODENRG","AGRWTH","A","2019",3.091256,
"COL","CPI","TOT_FOODENRG","AGRWTH","A","2020",2.247486,
"COL","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.0732,
"COL","CPI","TOT_FOODENRG","AGRWTH","A","2022",6.480474,
"ARG","CPI","TOT","AGRWTH","A","2018",34.27723,
"ARG","CPI","TOT","AGRWTH","A","2019",53.54831,
"ARG","CPI","TOT","AGRWTH","A","2020",42.01509,
"ARG","CPI","TOT","AGRWTH","A","2021",48.40938,
"ARG","CPI","TOT","AGRWTH","A","2022",72.43076,
"CRI","CPI","TOT","AGRWTH","A","2018",2.221115,
"CRI","CPI","TOT","AGRWTH","A","2019",2.096046,
"CRI","CPI","TOT","AGRWTH","A","2020",0.7249115,
"CRI","CPI","TOT","AGRWTH","A","2021",1.726478,
"CRI","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.892242,
"CRI","CPI","TOT_FOODENRG","AGRWTH","A","2019",2.742134,
"CRI","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.310271,
"CRI","CPI","TOT_FOODENRG","AGRWTH","A","2021",0.8840184,
"G-20","CPI","TOT","AGRWTH","A","2018",3.230422,
"G-20","CPI","TOT","AGRWTH","A","2019",3.563748,
"G-20","CPI","TOT","AGRWTH","A","2020",2.694649,
"G-20","CPI","TOT","AGRWTH","A","2021",4.284405,
"G-20","CPI","TOT","AGRWTH","A","2022",8.563109,
"CRI","CPI","FOOD","AGRWTH","A","2018",1.631967,
"CRI","CPI","FOOD","AGRWTH","A","2019",0.7974513,
"CRI","CPI","FOOD","AGRWTH","A","2020",0.4831476,
"CRI","CPI","FOOD","AGRWTH","A","2021",2.241312,
"IND","CPI","FOOD","AGRWTH","A","2018",1.252763,
"SAU","CPI","FOOD","AGRWTH","A","2018",6.466925,
"SAU","CPI","FOOD","AGRWTH","A","2019",2.079983,
"SAU","CPI","FOOD","AGRWTH","A","2020",9.012465,
"SAU","CPI","FOOD","AGRWTH","A","2021",5.389517,
"SAU","CPI","FOOD","AGRWTH","A","2022",3.720494,
"ARG","CPI","FOOD","AGRWTH","A","2018",32.73381,
"ARG","CPI","FOOD","AGRWTH","A","2019",58.36288,
"ARG","CPI","FOOD","AGRWTH","A","2020",46.96305,
"ARG","CPI","FOOD","AGRWTH","A","2021",49.84582,
"ARG","CPI","FOOD","AGRWTH","A","2022",74.63056,
"EU27_2020","CPI","FOOD","AGRWTH","A","2018",1.9,
"EU27_2020","CPI","FOOD","AGRWTH","A","2019",2.1,
"EU27_2020","CPI","FOOD","AGRWTH","A","2020",2.5,
"EU27_2020","CPI","FOOD","AGRWTH","A","2021",1.6,
"EU27_2020","CPI","FOOD","AGRWTH","A","2022",11.9,
"EU27_2020","CPI","TOT","AGRWTH","A","2018",1.8,
"EU27_2020","CPI","TOT","AGRWTH","A","2019",1.4,
"EU27_2020","CPI","TOT","AGRWTH","A","2020",0.7,
"EU27_2020","CPI","TOT","AGRWTH","A","2021",2.9,
"EU27_2020","CPI","TOT","AGRWTH","A","2022",9.2,
"EU27_2020","CPI","TOT_FOODENRG","AGRWTH","A","2018",1,
"EU27_2020","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.2,
"EU27_2020","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.1,
"EU27_2020","CPI","TOT_FOODENRG","AGRWTH","A","2021",1.8,
"EU27_2020","CPI","TOT_FOODENRG","AGRWTH","A","2022",4.7,
